컬럼

| table_name               | pos | column_name             | data_type                | udt_name    | is_nullable | column_default                                  | char_len | num_prec | num_scale |
| gm_conversations         | 6   | user_last_read_at       | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| gm_conversations         | 7   | gm_last_read_at         | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| gm_conversations         | 8   | created_at              | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| gm_conversations         | 9   | updated_at              | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| inventory_items          | 1   | id                      | uuid                     | uuid        | NO          | gen_random_uuid()                               | null     | null     | null      |
| inventory_items          | 2   | profile_id              | uuid                     | uuid        | NO          | null                                            | null     | null     | null      |
| inventory_items          | 3   | item_type               | text                     | text        | NO          | null                                            | null     | null     | null      |
| inventory_items          | 4   | item_ref                | text                     | text        | YES         | null                                            | null     | null     | null      |
| inventory_items          | 5   | quantity                | integer                  | int4        | NO          | 1                                               | null     | 32       | 0         |
| inventory_items          | 6   | durability              | integer                  | int4        | YES         | null                                            | null     | 32       | 0         |
| inventory_items          | 7   | metadata                | jsonb                    | jsonb       | NO          | '{}'::jsonb                                     | null     | null     | null      |
| inventory_items          | 8   | acquired_at             | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| invite_codes             | 1   | id                      | uuid                     | uuid        | NO          | gen_random_uuid()                               | null     | null     | null      |
| invite_codes             | 2   | code                    | text                     | text        | NO          | null                                            | null     | null     | null      |
| invite_codes             | 3   | profile_id              | uuid                     | uuid        | NO          | null                                            | null     | null     | null      |
| invite_codes             | 4   | issued_by               | uuid                     | uuid        | YES         | null                                            | null     | null     | null      |
| invite_codes             | 5   | invitee_note            | text                     | text        | YES         | null                                            | null     | null     | null      |
| invite_codes             | 6   | used                    | boolean                  | bool        | NO          | false                                           | null     | null     | null      |
| invite_codes             | 7   | used_at                 | timestamp with time zone | timestamptz | YES         | null                                            | null     | null     | null      |
| invite_codes             | 8   | expires_at              | timestamp with time zone | timestamptz | NO          | null                                            | null     | null     | null      |
| invite_codes             | 9   | created_at              | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| invite_mismatch_reports  | 1   | id                      | uuid                     | uuid        | NO          | gen_random_uuid()                               | null     | null     | null      |
| invite_mismatch_reports  | 2   | invite_code_id          | uuid                     | uuid        | YES         | null                                            | null     | null     | null      |
